video_id,in_phase2,in_v1,has_transcript,status
Wrmyf45wbKs,False,True,False,legacy_only
Ws0jp5dBp3k,False,True,False,legacy_only
WvRdKQ_kSSY,True,False,False,phase2_missing_transcript
Ww1xXM9xTrM,False,True,False,legacy_only
WwaHfZiLoXk,True,False,False,phase2_missing_transcript
WxdR0Vmm8QA,False,True,True,legacy_only_with_transcript
X-AEzhkysCg,False,True,True,legacy_only_with_transcript
X-tPKbsk-i4,False,True,False,legacy_only
X0f2R6H98BQ,True,False,False,phase2_missing_transcript
X3FKttoVT8k,False,True,True,legacy_only_with_transcript
X3m7mfvdWVo,False,True,False,legacy_only
X4vawOYpQug,False,True,False,legacy_only
X7C8INDnWh0,False,True,True,legacy_only_with_transcript
XGA1gZgDvL0,False,True,False,legacy_only
XIYz7Wmk1MU,False,True,False,legacy_only
XKJ_HbY2sF0,False,True,False,legacy_only
XKe8oiQDR68,True,False,False,phase2_missing_transcript
XRmDFoEIk8I,True,False,False,phase2_missing_transcript
XZtA3D5fdJs,False,True,True,legacy_only_with_transcript
XaQqwIuvDnM,False,True,True,legacy_only_with_transcript
XgAMQHR7AxY,True,False,False,phase2_missing_transcript
XgPRT2axJUM,True,False,False,phase2_missing_transcript
XgbnqeGbSoQ,True,False,False,phase2_missing_transcript
Xh2q22BxBCY,True,False,False,phase2_missing_transcript
XhkFTHoxCbk,False,True,False,legacy_only
XiudRQ8pKew,False,True,False,legacy_only
XjzM546PQ6E,True,False,False,phase2_missing_transcript
XoKsd-IwLpQ,True,False,False,phase2_missing_transcript
Xqxd3CR-EOg,False,True,True,legacy_only_with_transcript
Xr6ZOn6Xd7E,True,False,False,phase2_missing_transcript
Xr7UpJjARrQ,True,False,False,phase2_missing_transcript
XynBQsj8LR8,False,True,False,legacy_only
Y22QyEabXpE,False,True,False,legacy_only
Y3jdneCmRt4,False,True,False,legacy_only
Y69md6XRncU,True,False,False,phase2_missing_transcript
Y7Ye51p2Fj4,True,False,False,phase2_missing_transcript
Y8qXuYLvz10,True,False,False,phase2_missing_transcript
YBHWmwc58ZY,False,True,False,legacy_only
YLY5hrkQgWY,True,False,False,phase2_missing_transcript
YPTLbfMieGg,False,True,False,legacy_only
YX8H6vxWFMw,False,True,False,legacy_only
YZKtJgUWw1U,False,True,False,legacy_only
YdBlP7DlYek,False,True,True,legacy_only_with_transcript
Ye91XcDdXKo,False,True,False,legacy_only
YfPwMRCAzj4,False,True,True,legacy_only_with_transcript
YfWowfZ61ks,False,True,False,legacy_only
YhPYs9UydcY,False,True,False,legacy_only
Yigk4vZH_tM,False,True,False,legacy_only
YjFYaNyfq4Y,False,True,True,legacy_only_with_transcript
YjiizPn7oNs,False,True,False,legacy_only
Ym5Nx64_BJo,False,True,False,legacy_only
Ymi8Cov8hg0,True,False,False,phase2_missing_transcript
YnOJWCdX0eY,False,True,False,legacy_only
YnpWEXUA2WI,True,False,False,phase2_missing_transcript
Ypwn-vB5jvw,True,False,False,phase2_missing_transcript
YqBK6R_wCTs,True,False,False,phase2_missing_transcript
YszEM0XTw9c,False,True,False,legacy_only
YuN7qDutOQc,True,False,False,phase2_missing_transcript
YwMEcKsq_R0,True,False,False,phase2_missing_transcript
YxIl9KqBj2U,False,True,False,legacy_only
Z-5cexT4CaI,True,False,False,phase2_missing_transcript
Z-p2ze9jecw,True,False,False,phase2_missing_transcript
Z09qEkLoVeo,True,False,False,phase2_missing_transcript
Z4diFKcv3gE,True,False,False,phase2_missing_transcript
Z6jMEMLRfXI,False,True,True,legacy_only_with_transcript
Z7O9IBS4cgQ,False,True,False,legacy_only
Z8ASYVjkEOg,False,True,True,legacy_only_with_transcript
ZEQ4X6SV85U,False,True,False,legacy_only
ZEzs6A3wiW0,False,True,True,legacy_only_with_transcript
ZFuazWOx7eQ,False,True,True,legacy_only_with_transcript
ZKbE0otIDaE,True,False,False,phase2_missing_transcript
ZNmXEDIpuXg,False,True,True,legacy_only_with_transcript
ZO0yj8NEb4g,False,True,True,legacy_only_with_transcript
ZOerekxwWsE,False,True,False,legacy_only
ZPr-uZMwQY4,False,True,False,legacy_only
ZPvjYdERaEI,True,False,False,phase2_missing_transcript
ZQt8OSTmXj0,False,True,True,legacy_only_with_transcript
ZVFCHZHDGR0,False,True,False,legacy_only
ZaA653fHNbI,True,False,False,phase2_missing_transcript
Zb3NOnN70pQ,False,True,True,legacy_only_with_transcript
ZbicnLm4Upw,False,True,True,legacy_only_with_transcript
Zedcdp4LDI4,False,True,False,legacy_only
ZelH0Jywa5Q,True,False,False,phase2_missing_transcript
Zfeh1FUs-Ho,False,True,True,legacy_only_with_transcript
